category,query,language,engine,title,link,source,pdf_link,date,snippet
economic,electricity imports Moldova Romania Ukraine 2024..2025,en,scholar,Impacts of large-scale deployment of vertical bifacial photovoltaics on European electricity market dynamics,https://openalex.org/W4401357523,Nature Communications (2024),https://www.nature.com/articles/s41467-024-50762-7.pdf,,
economic,electricity imports Moldova Romania Ukraine 2024..2025,en,scholar,Delivering a Climate Neutral Europe,https://openalex.org/W4394931585,Routledge eBooks (2024),https://cadmus.eui.eu/bitstream/1814/76985/1/Delivering_a_climate_neutral_Europe_Book_2024.pdf,,
economic,electricity imports Moldova Romania Ukraine 2024..2025,en,scholar,Stanowisko UE wobec agresji Rosji przeciw Ukrainie,https://openalex.org/W4390813807,Studia Prawnicze KUL (2024),https://czasopisma.kul.pl/index.php/sp/article/download/16553/14911,,
economic,EU macro-financial assistance Moldova site:europa.eu 2024..2025,en,web,Moldova: Council and European Parliament agree to support reforms and ...,https://www.consilium.europa.eu/en/press/press-releases/2025/02/19/moldova-council-and-european-parliament-agree-to-support-reforms-and-economic-growth-with-almost-2-bn/pdf/,,,,"Background On 10 October 2024, the European Commission presented aMoldovaGrowth Plan, which is based on three pillars: supportingMoldova'ssocio-economic and fundamental reforms, enhancingMoldova'saccess to theEU'ssingle market, and increasingfinancialsupport 2025-2027 through a dedicated Reform and Growth Facility forMoldova."
economic,EU macro-financial assistance Moldova site:europa.eu 2024..2025,en,web,Moldova: Council gives final green light to support reforms and ...,https://www.consilium.europa.eu/en/press/press-releases/2025/03/18/moldova-council-gives-final-green-light-to-support-reforms-and-economic-growth-with-almost-2-billion/,,,,"The Council today gave its final green light to setting up the Reform and Growth Facility for the Republic ofMoldova, a new instrument to supportEU-related reforms and economic growth in the country. The envelope of €1.9 billion provided by the Facility is the largestEUfinancialsupport package sinceMoldova'sindependence and comes on top of theEU'sother substantial support to the ..."
economic,EU macro-financial assistance Moldova site:europa.eu 2024..2025,en,web,PDFCommission welcomes political agreement on the €1.9 billion Reform and ...,https://ec.europa.eu/commission/presscorner/api/files/document/print/en/ip_25_568/IP_25_568_EN.pdf,,,,"The Reform and Growth Facility forMoldovawill provide €1.9 billion infinancialsupport based on a Reform Agenda fromMoldovawhich outlines key socio-economic and fundamental reforms it intends to undertake to accelerate growth and convergence with theEU, as well as priority investment needs."
economic,EIB Moldova project site:eib.org 2024..2025,en,web,"EIB Investment Report 2024/2025: Innovation, integration and ...",https://www.eib.org/en/publications/20240354-investment-report-2024,,,,"European Union needs to solidify its position as a global leader in technology, innovation and clean energy."
economic,EIB Moldova project site:eib.org 2024..2025,en,web,EIB Global Impact Report 2024/2025,https://www.eib.org/en/publications/20250051-eib-global-impact-report-2024,,,,"TheEIBGroup Global Impact Report2024/2025offers a compelling look into Europe's pivotal role as an anchor of stability and innovation, spotlighting theEIB'sstrategic investments in climate action, digital connectivity, gender equality, and the reconstruction of Ukraine."
economic,EIB Moldova project site:eib.org 2024..2025,en,web,"EIB Group achieves record results in 2024, targets €95 billion in ...",https://www.eib.org/en/press/all/2025-030-eib-group-achieves-record-results-in-2024-targets-eur95-billion-in-investments-for-2025,,,,"The European Investment Bank (EIB) Group signed €89 billion in new financing last year. The Group made more investments than ever before to strengthen EU energy security, mobilising over €100 billion forprojectsin new and upgraded infrastructure such as grids and interconnectors, renewables, net-zero industries, efficiency and storage. Nearly 60% of the total financing supported the ..."
economic,trade structure Moldova exports EU share 2024..2025,en,scholar,Impacts of large-scale deployment of vertical bifacial photovoltaics on European electricity market dynamics,https://openalex.org/W4401357523,Nature Communications (2024),https://www.nature.com/articles/s41467-024-50762-7.pdf,,
economic,trade structure Moldova exports EU share 2024..2025,en,scholar,Delivering a Climate Neutral Europe,https://openalex.org/W4394931585,Routledge eBooks (2024),https://cadmus.eui.eu/bitstream/1814/76985/1/Delivering_a_climate_neutral_Europe_Book_2024.pdf,,
economic,trade structure Moldova exports EU share 2024..2025,en,scholar,International development policies in Central and Eastern Europe since EU accession: increasing divergence?,https://openalex.org/W4398251412,Journal of Contemporary European Studies (2024),https://www.tandfonline.com/doi/pdf/10.1080/14782804.2024.2356662?needAccess=true,,
economic,FDI Moldova 2024..2025,en,scholar,A nyugat-balkáni térség és az euróövezet „nem szokványos” kiterjesztése,https://openalex.org/W4401209143,Közgazdasági Szemle (2024),,,
economic,FDI Moldova 2024..2025,en,scholar,Foreign Trade of Ukraine’s ICT Sector: state and prospects,https://openalex.org/W4393392381,International Science Journal of Management Economics & Finance (2024),https://isg-journal.com/isjmef/article/download/644/359,,
economic,FDI Moldova 2024..2025,en,scholar,,https://openalex.org/W4390484956,Socio World Social Research & Behavioral Sciences (2024),https://zenodo.org/records/10443165/files/SWD-13.03.2023.pdf,,
economic,sanctions Moldova economy 2024..2025,en,scholar,"Beyond External Incentives: The European Union, Wartime Enlargement and the Candidate Countries in Eastern Europe and the Western Balkans",https://openalex.org/W4413000465,JCMS Journal of Common Market Studies (2025),https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jcms.70018,,
economic,sanctions Moldova economy 2024..2025,en,scholar,Delivering a Climate Neutral Europe,https://openalex.org/W4394931585,Routledge eBooks (2024),https://cadmus.eui.eu/bitstream/1814/76985/1/Delivering_a_climate_neutral_Europe_Book_2024.pdf,,
economic,sanctions Moldova economy 2024..2025,en,scholar,Stanowisko UE wobec agresji Rosji przeciw Ukrainie,https://openalex.org/W4390813807,Studia Prawnicze KUL (2024),https://czasopisma.kul.pl/index.php/sp/article/download/16553/14911,,
economic,remittances Moldova 2024..2025,en,scholar,Responding to natural disasters: What do monthly remittance data tell us?,https://openalex.org/W4405220692,Journal of Development Economics (2024),,,
economic,remittances Moldova 2024..2025,en,scholar,Prospects for Russia's Crop Exports to China and Food Security of China,https://openalex.org/W4393170324,World Economy and International Relations (2024),https://www.fao.org/3/cb9013en/cb9013en.pdf,,
economic,remittances Moldova 2024..2025,en,scholar,RUSSIAN SOFT POWER AS AN INSTRUMENT OF INFLUENCE ON BELARUS,https://openalex.org/W4405686082,Przegląd Wschodnioeuropejski (2024),,,
