category,query,language,engine,title,link,source,pdf_link,date,snippet
information,Telegram Moldova channels disinformation 2024..2025,en,scholar,RUSSIAN SOFT POWER AS AN INSTRUMENT OF INFLUENCE ON BELARUS,https://openalex.org/W4405686082,Przegląd Wschodnioeuropejski (2024),,,
information,media ownership Moldova 2024..2025,en,scholar,The application of the temporary protection directive: challenges and good practises for Ireland,https://openalex.org/W4395071041,2024,https://www.esri.ie/pubs/RS185.pdf,,
information,media ownership Moldova 2024..2025,en,scholar,Gender Responsive Budgeting (GRB) in Western Balkans between aspirations and reality,https://openalex.org/W4390842296,Deleted Journal (2024),https://sciendo.com/pdf/10.2478/ejels-2024-0002,,
information,media ownership Moldova 2024..2025,en,scholar,"Urban wastewater management in Nepal: generation, treatment, engineering and policy perspectives",https://openalex.org/W4392705247,H2Open Journal (2024),https://iwaponline.com/h2open/article-pdf/doi/10.2166/h2oj.2024.105/1380580/h2oj2024105.pdf,,
information,Sputnik Moldova disinformation network 2024..2025,en,scholar,RUSSIAN SOFT POWER AS AN INSTRUMENT OF INFLUENCE ON BELARUS,https://openalex.org/W4405686082,Przegląd Wschodnioeuropejski (2024),,,
information,media audience share Moldova 2024..2025,en,scholar,The application of the temporary protection directive: challenges and good practises for Ireland,https://openalex.org/W4395071041,2024,https://www.esri.ie/pubs/RS185.pdf,,
information,media audience share Moldova 2024..2025,en,scholar,Climate Denial – the Antithesis of Climate Education: A Review,https://openalex.org/W4393270033,2024,,,
information,media audience share Moldova 2024..2025,en,scholar,The Law &amp; Politics of Brexit: Volume V,https://openalex.org/W4398255335,Oxford University Press eBooks (2024),https://academic.oup.com/book/56381/book-pdf/57406675/9780198908296_web.pdf,,
information,foreign funding media Moldova 2024..2025,en,scholar,"Beyond External Incentives: The European Union, Wartime Enlargement and the Candidate Countries in Eastern Europe and the Western Balkans",https://openalex.org/W4413000465,JCMS Journal of Common Market Studies (2025),https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jcms.70018,,
information,foreign funding media Moldova 2024..2025,en,scholar,The application of the temporary protection directive: challenges and good practises for Ireland,https://openalex.org/W4395071041,2024,https://www.esri.ie/pubs/RS185.pdf,,
