category,query,language,engine,title,link,source,pdf_link,date,snippet
political,Gagauzia statute OR autonomy Moldova 2024..2025,en,scholar,Moldovan policy in the context of the conflict between Russia and the West,https://openalex.org/W4410055423,Post-Soviet Issues (2025),,,
political,Gagauzia statute OR autonomy Moldova 2024..2025,en,scholar,Moldova’s transition to a productive market economy with the help of IT sector and the road to EU accession,https://openalex.org/W4406262229,Journal of Infrastructure Policy and Development (2025),,,
political,party financing Moldova OR PAS OR PSRM OR BEP 2024..2025,en,scholar,The New Collective Quantified Goal on climate finance,https://openalex.org/W4398769691,OECD/IEA climate change expert group papers (2024),,,
political,party financing Moldova OR PAS OR PSRM OR BEP 2024..2025,en,scholar,Climate and Energy Transitions in Times of Environmental Backlash? The European Union ‘Green Deal’ From Adoption to Implementation,https://openalex.org/W4401777155,JCMS Journal of Common Market Studies (2024),,,
political,party financing Moldova OR PAS OR PSRM OR BEP 2024..2025,en,scholar,Entangled Trajectories: The 2024 Electoral Year in Bulgaria and Romania,https://openalex.org/W4413408858,JCMS Journal of Common Market Studies (2025),,,
political,judiciary reform Moldova OR anticorruption 2024..2025,en,scholar,Going in Different Directions? The 2023 Elections in Poland and Slovakia and Their Aftermath,https://openalex.org/W4401100607,JCMS Journal of Common Market Studies (2024),,,
political,judiciary reform Moldova OR anticorruption 2024..2025,en,scholar,Nationalism and War in the 21st‐Century Europe,https://openalex.org/W4413611956,JCMS Journal of Common Market Studies (2025),https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jcms.70027,,
political,judiciary reform Moldova OR anticorruption 2024..2025,en,scholar,Some comments on the principle of judges and people's jurors adjudicate independently and are subject only to the law,https://openalex.org/W4412041952,Science & Technology Development Journal - Economics - Law and Management (2025),,,
political,protests Chișinău OR opposition rally 2024..2025,en,scholar,Going in Different Directions? The 2023 Elections in Poland and Slovakia and Their Aftermath,https://openalex.org/W4401100607,JCMS Journal of Common Market Studies (2024),,,
political,protests Chișinău OR opposition rally 2024..2025,en,scholar,Like Lady Godiva,https://openalex.org/W4413341524,M/C Journal (2025),,,
political,protests Chișinău OR opposition rally 2024..2025,en,scholar,Understanding China’s Belt and Road Initiative,https://openalex.org/W4392014093,Asia in transition (2024),,,
political,Transnistria reintegration policy Moldova 2024..2025,en,scholar,Moldovan policy in the context of the conflict between Russia and the West,https://openalex.org/W4410055423,Post-Soviet Issues (2025),,,
political,foreign influence Moldova election OR interference 2024..2025,en,scholar,"Beyond External Incentives: The European Union, Wartime Enlargement and the Candidate Countries in Eastern Europe and the Western Balkans",https://openalex.org/W4413000465,JCMS Journal of Common Market Studies (2025),https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jcms.70018,,
political,foreign influence Moldova election OR interference 2024..2025,en,scholar,TRANSFORMATION OF THE BUDGET SYSTEM OF UKRAINE IN THE FACE OF EXTRAORDINARY CHALLENGES AND THREATS,https://openalex.org/W4392291772,Financial and credit activity problems of theory and practice (2024),https://fkd.net.ua/index.php/fkd/article/download/4261/4014,,
political,foreign influence Moldova election OR interference 2024..2025,en,scholar,The Evolution of Digital Trade Law: Insights from TAPED,https://openalex.org/W4390582101,World Trade Review (2024),https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8C9B4DA7D7FA50B10913BD7575929750/S1474745623000472a.pdf/div-class-title-the-evolution-of-digital-trade-law-insights-from-taped-div.pdf,,
political,sanctions Moldova media OR broadcasters 2024..2025,en,scholar,"Beyond External Incentives: The European Union, Wartime Enlargement and the Candidate Countries in Eastern Europe and the Western Balkans",https://openalex.org/W4413000465,JCMS Journal of Common Market Studies (2025),https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jcms.70018,,
political,sanctions Moldova media OR broadcasters 2024..2025,en,scholar,Stanowisko UE wobec agresji Rosji przeciw Ukrainie,https://openalex.org/W4390813807,Studia Prawnicze KUL (2024),https://czasopisma.kul.pl/index.php/sp/article/download/16553/14911,,
political,sanctions Moldova media OR broadcasters 2024..2025,en,scholar,Criminal Liability of Legal Entities for a Just and Equitable Society: A Theoretic and Empirical Case,https://openalex.org/W4405235555,Journal of Lifestyle and SDGs Review (2024),,,
political,Transnistria negotiations 5+2 Moldova 2024..2025,en,scholar,,https://openalex.org/W4390484956,Socio World Social Research & Behavioral Sciences (2024),https://zenodo.org/records/10443165/files/SWD-13.03.2023.pdf,,
political,religion politics Moldova church influence 2024..2025,en,scholar,The Impact of the United Nations Human Rights Treaties on the Domestic Level in the Czech Republic,https://openalex.org/W4392195217,Brill | Nijhoff eBooks (2024),https://brill.com/downloadpdf/edcollchap-oa/book/9789004377653/BP000006.pdf,,
political,religion politics Moldova church influence 2024..2025,en,scholar,The Law &amp; Politics of Brexit: Volume V,https://openalex.org/W4398255335,Oxford University Press eBooks (2024),https://academic.oup.com/book/56381/book-pdf/57406675/9780198908296_web.pdf,,
political,religion politics Moldova church influence 2024..2025,en,scholar,RUSSIAN SOFT POWER AS AN INSTRUMENT OF INFLUENCE ON BELARUS,https://openalex.org/W4405686082,Przegląd Wschodnioeuropejski (2024),,,
political,political advertising Moldova regulation 2024..2025,en,scholar,Seven Arguments in Favour of Rethinking Corruption,https://openalex.org/W4392398079,eucrim – The European Criminal Law Associations Forum (2024),,,
political,political advertising Moldova regulation 2024..2025,en,scholar,METHOD FOR DETERMINING THE DEGREE OF DEFORMATION DURING ROTARY DRAWING WITH THINNING OF THE WALL,https://openalex.org/W4405586976,2024,,,
political,political advertising Moldova regulation 2024..2025,en,scholar,CRITERIA OF ROAD DURABILITY,https://openalex.org/W4405587139,2024,,,
political,Moldova election 2024 analysis,en,youtube,Moldova bars pro-Russian party from tense parliamentary election • FRANCE 24 English,https://www.youtube.com/watch?v=qwRloizr1Tg,FRANCE 24 English,,20250927,"Moldova’s electoral commission barred a pro-Russian party from participating in this weekend's tense parliamentary election, which is beleaguered by widespread claims of Russian interference. The vote could decide the country’s geopolitical future: a stark choice between East and West. Details by FRANCE 24 correspondent Maria Gerth-Niculescu.
#Moldova #election #Russia

🔔 Subscribe to France 24 now: https://f24.my/YTen
🔴 LIVE - Watch FRANCE 24 English 24/7 here: https://f24.my/YTliveEN

🌍 Read t"
political,Moldova election 2024 analysis,en,youtube,MCC Votes & Seats: “A Tough Lesson” – Moldova after the 2024 Presidential Election and EU Referendum,https://www.youtube.com/watch?v=tpQOWBMF9L4,Mathias Corvinus Collegium,,20241202,"This time, we analyze the October 2024 presidential election and EU membership referendum that were held in Moldova on the same day.

Mr. Nicolae Panfil from Promo-LEX claims that the referendum turned out to be a “double-edged sword” in the campaign of incumbent head-of-state Maia Sandu: it did boost the president’s pro-EU image, yet it also gave a momentum to the pro-Russia machinery in the country.

By now, Sandu’s Party of Action and Solidarity absorbed all political power and marginalized o"
political,Moldova election 2024 analysis,en,youtube,Moldova Elections 2024: Maia Sandu Vs Alexandr Stoianoglo | Latest News | WION,https://www.youtube.com/watch?v=0cA_eOMlG9M,WION,,20241103,"Amid concerns about Russian intervention, Moldovans went to the polls on Sunday to cast their ballots in a presidential election runoff that might be pivotal to the nation's future in Europe.

#moldova #moldovaelection #wion 

About Channel: 

WION The World is One News examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim is to empower people to explore their world. With our Global headquarters in New Delhi, we bring you news on the hour, by the h"
political,Moldova election 2024 analysis,en,youtube,Moldova's pro-EU party wins vote among claims of Russian interference | BBC News,https://www.youtube.com/watch?v=B_EAG70vRmk,BBC News,,20250929,"The pro-European party of Moldovan President Maia Sandu has claimed victory and a new majority in parliament in elections seen as critical for her country's future path to the EU.
 
Sandu had warned of ""massive Russian interference"" after voting, saying the future of her country, flanked by Ukraine and Romania, was at stake.
 
Igor Grosu, the leader of Sandu's Party of Action and Solidarity (PAS), said it had been ""an extraordinarily difficult battle"" and that Russia had thrown ""everything it ha"
political,Moldova election 2024 analysis,en,youtube,Moldova Elections 2024: Incumbent Sandu Leading In Early Trends | Latest News | WION,https://www.youtube.com/watch?v=N0n3lEwseRY,WION,,20241021,"After preliminary results indicated that the election was headed for a close run-off and an EU referendum that was coming down to the wire, Moldovan President Maia Sandu said Sunday's dual ballots faced a ""unprecedented"" attack from outside interference.

#moldova #moldovaelection #wion 

About Channel: 

WION The World is One News examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim is to empower people to explore their world. With our Global hea"
political,Moldova election 2024 analysis,en,youtube,EU or Russia? Sandu warns of Moscow interference in Moldova election 2025 | Times Now World,https://www.youtube.com/watch?v=QOUVHKzwEAE,Times Now World,,20250928,"Moldova’s parliamentary election on September 28 has drawn intense global scrutiny as the country faces a choice between continued European Union integration and closer ties with Russia. The pro-European administration in Chisinau confronts challenges from a pro-Russian opposition that criticizes the government and EU influence amid corruption, economic hardship, and massive emigration. Russian-backed forces in Transnistria continue to exert influence, while concerns over possible election annul"
