category,query,language,engine,title,link,source,publication_info,pdf_link,date,snippet,position,year_min,year_max,occurrences,label,confidence,pmesii,source_type,admiralty_source_reliability,admiralty_distance_to_origin,admiralty_info_credibility,rationale
political,Gagauzia statute OR autonomy Moldova 2024..2025,en,scholar,Moldovan policy in the context of the conflict between Russia and the West,https://openalex.org/W4410055423,Post-Soviet Issues (2025),,,,,,,,,non_intel,0.34,[],journal,A,b,6,Title suggests broad policy analysis amid Russia–West conflict without concrete Moldova infrastructure specifics (2024–2025).
political,Gagauzia statute OR autonomy Moldova 2024..2025,en,scholar,Moldova’s transition to a productive market economy with the help of IT sector and the road to EU accession,https://openalex.org/W4406262229,Journal of Infrastructure Policy and Development (2025),,,,,,,,,intel,0.62,"['Capabilities', 'Organisations', 'Structures']",journal,A,b,3,"Covers Moldova’s IT sector and EU accession; likely provides concrete policy, institutional and capability details on digital infrastructure relevant to vulnerabilities."
political,party financing Moldova OR PAS OR PSRM OR BEP 2024..2025,en,scholar,The New Collective Quantified Goal on climate finance,https://openalex.org/W4398769691,OECD/IEA climate change expert group papers (2024),,,,,,,,,non_intel,0.1,[],report,B,b,6,Global climate finance goal paper; no Moldova-specific infrastructure content indicated.
political,party financing Moldova OR PAS OR PSRM OR BEP 2024..2025,en,scholar,Climate and Energy Transitions in Times of Environmental Backlash? The European Union ‘Green Deal’ From Adoption to Implementation,https://openalex.org/W4401777155,JCMS Journal of Common Market Studies (2024),,,,,,,,,non_intel,0.12,[],journal,A,b,6,EU Green Deal implementation analysis; lacks Moldova-focused infrastructure detail.
political,party financing Moldova OR PAS OR PSRM OR BEP 2024..2025,en,scholar,Entangled Trajectories: The 2024 Electoral Year in Bulgaria and Romania,https://openalex.org/W4413408858,JCMS Journal of Common Market Studies (2025),,,,,,,,,non_intel,0.08,[],journal,A,b,6,Study of elections in Bulgaria and Romania; unrelated to Moldova’s infrastructure.
political,judiciary reform Moldova OR anticorruption 2024..2025,en,scholar,Going in Different Directions? The 2023 Elections in Poland and Slovakia and Their Aftermath,https://openalex.org/W4401100607,JCMS Journal of Common Market Studies (2024),,,,,,,,,non_intel,0.08,[],journal,A,b,6,Elections in Poland and Slovakia; no Moldova infrastructure relevance.
political,judiciary reform Moldova OR anticorruption 2024..2025,en,scholar,Nationalism and War in the 21st‐Century Europe,https://openalex.org/W4413611956,JCMS Journal of Common Market Studies (2025),,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jcms.70027,,,,,,,non_intel,0.08,[],journal,A,b,6,Broad analysis of nationalism and war in Europe; no concrete Moldova infrastructure content.
political,judiciary reform Moldova OR anticorruption 2024..2025,en,scholar,Some comments on the principle of judges and people's jurors adjudicate independently and are subject only to the law,https://openalex.org/W4412041952,Science & Technology Development Journal - Economics - Law and Management (2025),,,,,,,,,non_intel,0.08,[],journal,C,b,6,Legal commentary on adjudication principles; no link to Moldova or infrastructure.
political,protests Chișinău OR opposition rally 2024..2025,en,scholar,Like Lady Godiva,https://openalex.org/W4413341524,M/C Journal (2025),,,,,,,,,non_intel,0.05,[],journal,C,b,6,Cultural essay; unrelated to Moldova or infrastructure.
political,protests Chișinău OR opposition rally 2024..2025,en,scholar,Understanding China’s Belt and Road Initiative,https://openalex.org/W4392014093,Asia in transition (2024),,,,,,,,,non_intel,0.08,[],other,B,b,6,General overview of China’s Belt and Road; no Moldova-specific infrastructure detail indicated.
political,foreign influence Moldova election OR interference 2024..2025,en,scholar,"Beyond External Incentives: The European Union, Wartime Enlargement and the Candidate Countries in Eastern Europe and the Western Balkans",https://openalex.org/W4413000465,JCMS Journal of Common Market Studies (2025),,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jcms.70018,,,,,,,non_intel,0.24,[],journal,A,b,6,EU enlargement politics across candidates; lacks concrete Moldova infrastructure specifics.
political,foreign influence Moldova election OR interference 2024..2025,en,scholar,TRANSFORMATION OF THE BUDGET SYSTEM OF UKRAINE IN THE FACE OF EXTRAORDINARY CHALLENGES AND THREATS,https://openalex.org/W4392291772,Financial and credit activity problems of theory and practice (2024),,https://fkd.net.ua/index.php/fkd/article/download/4261/4014,,,,,,,non_intel,0.05,[],journal,C,b,6,Focuses on Ukraine’s budget system; not relevant to Moldova’s infrastructure.
political,foreign influence Moldova election OR interference 2024..2025,en,scholar,The Evolution of Digital Trade Law: Insights from TAPED,https://openalex.org/W4390582101,World Trade Review (2024),,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8C9B4DA7D7FA50B10913BD7575929750/S1474745623000472a.pdf/div-class-title-the-evolution-of-digital-trade-law-insights-from-taped-div.pdf,,,,,,,non_intel,0.07,[],journal,A,b,6,Digital trade law evolution; no Moldova infrastructure content indicated.
political,sanctions Moldova media OR broadcasters 2024..2025,en,scholar,Stanowisko UE wobec agresji Rosji przeciw Ukrainie,https://openalex.org/W4390813807,Studia Prawnicze KUL (2024),,https://czasopisma.kul.pl/index.php/sp/article/download/16553/14911,,,,,,,non_intel,0.06,[],journal,A,b,6,Polish legal article on EU stance to Russia’s aggression; lacks Moldova infrastructure relevance.
political,sanctions Moldova media OR broadcasters 2024..2025,en,scholar,Criminal Liability of Legal Entities for a Just and Equitable Society: A Theoretic and Empirical Case,https://openalex.org/W4405235555,Journal of Lifestyle and SDGs Review (2024),,,,,,,,,non_intel,0.06,[],journal,C,b,6,General criminal liability study; not about Moldova’s infrastructure.
political,Transnistria negotiations 5+2 Moldova 2024..2025,en,scholar,,https://openalex.org/W4390484956,Socio World Social Research & Behavioral Sciences (2024),,https://zenodo.org/records/10443165/files/SWD-13.03.2023.pdf,,,,,,,non_intel,0.04,[],journal,F,f,6,No title/snippet and unclear journal; cannot assess relevance to Moldova’s infrastructure.
political,religion politics Moldova church influence 2024..2025,en,scholar,The Impact of the United Nations Human Rights Treaties on the Domestic Level in the Czech Republic,https://openalex.org/W4392195217,Brill | Nijhoff eBooks (2024),,https://brill.com/downloadpdf/edcollchap-oa/book/9789004377653/BP000006.pdf,,,,,,,non_intel,0.05,[],other,B,b,6,Czech Republic-focused human rights analysis; unrelated to Moldova or infrastructure.
political,religion politics Moldova church influence 2024..2025,en,scholar,The Law &amp; Politics of Brexit: Volume V,https://openalex.org/W4398255335,Oxford University Press eBooks (2024),,https://academic.oup.com/book/56381/book-pdf/57406675/9780198908296_web.pdf,,,,,,,non_intel,0.06,[],other,B,b,6,Brexit law volume; no relevance to Moldova’s infrastructure.
political,religion politics Moldova church influence 2024..2025,en,scholar,RUSSIAN SOFT POWER AS AN INSTRUMENT OF INFLUENCE ON BELARUS,https://openalex.org/W4405686082,Przegląd Wschodnioeuropejski (2024),,,,,,,,,non_intel,0.07,[],journal,C,b,6,Examines Russian soft power in Belarus; not about Moldova’s infrastructure systems.
political,political advertising Moldova regulation 2024..2025,en,scholar,Seven Arguments in Favour of Rethinking Corruption,https://openalex.org/W4392398079,eucrim – The European Criminal Law Associations Forum (2024),,,,,,,,,non_intel,0.1,[],other,C,b,6,Conceptual piece on corruption; no Moldova-specific infrastructure details.
political,political advertising Moldova regulation 2024..2025,en,scholar,METHOD FOR DETERMINING THE DEGREE OF DEFORMATION DURING ROTARY DRAWING WITH THINNING OF THE WALL,https://openalex.org/W4405586976,2024,,,,,,,,,non_intel,0.18,[],journal,A,c,6,"Engineering paper on rotary drawing deformation; no Moldova-specific infrastructure systems, assets, or policies. Not actionable for Moldova’s infrastructure dependencies."
political,political advertising Moldova regulation 2024..2025,en,scholar,CRITERIA OF ROAD DURABILITY,https://openalex.org/W4405587139,2024,,,,,,,,,non_intel,0.22,[],journal,A,c,6,"Generic road durability criteria article with no Moldova-specific data, assets, or governance context. Does not inform Moldova’s infrastructure capabilities or dependencies."
