category,query,language,engine,title,link,source,pdf_link,date,snippet
social,education workforce Moldova technical universities 2024..2025,en,scholar,Gender Responsive Budgeting (GRB) in Western Balkans between aspirations and reality,https://openalex.org/W4390842296,Deleted Journal (2024),https://sciendo.com/pdf/10.2478/ejels-2024-0002,,
social,education workforce Moldova technical universities 2024..2025,en,scholar,"Re-politicising Anti-Trafficking: Migration, labour, and the war in Ukraine",https://openalex.org/W4396220260,Anti-Trafficking Review (2024),https://antitraffickingreview.org/index.php/atrjournal/article/download/753/553,,
social,education workforce Moldova technical universities 2024..2025,en,scholar,Moldova’s transition to a productive market economy with the help of IT sector and the road to EU accession,https://openalex.org/W4406262229,Journal of Infrastructure Policy and Development (2025),,,
social,migration Moldova refugees Ukrainian impact 2024..2025,en,scholar,The application of the temporary protection directive: challenges and good practises for Ireland,https://openalex.org/W4395071041,2024,https://www.esri.ie/pubs/RS185.pdf,,
social,migration Moldova refugees Ukrainian impact 2024..2025,en,scholar,Impact of Ukrainian Refugees on the COVID-19 Pandemic Dynamics after 24 February 2022,https://openalex.org/W4393860747,Computation (2024),https://www.mdpi.com/2079-3197/12/4/70/pdf?version=1712125696,,
social,migration Moldova refugees Ukrainian impact 2024..2025,en,scholar,"Re-politicising Anti-Trafficking: Migration, labour, and the war in Ukraine",https://openalex.org/W4396220260,Anti-Trafficking Review (2024),https://antitraffickingreview.org/index.php/atrjournal/article/download/753/553,,
social,urban rural disparity Moldova public services 2024..2025,en,scholar,"Urban wastewater management in Nepal: generation, treatment, engineering and policy perspectives",https://openalex.org/W4392705247,H2Open Journal (2024),https://iwaponline.com/h2open/article-pdf/doi/10.2166/h2oj.2024.105/1380580/h2oj2024105.pdf,,
social,urban rural disparity Moldova public services 2024..2025,en,scholar,Financing gap for universal social protection,https://openalex.org/W4396511505,ILO eBooks (2024),https://www.econstor.eu/bitstream/10419/296565/1/1887275096.pdf,,
social,urban rural disparity Moldova public services 2024..2025,en,scholar,Trauma Outcomes in Pediatric Nonfatal Road Traffic Accidents,https://openalex.org/W4391880505,2024,,,
social,demographics Moldova population trend 2024..2025,en,scholar,Convergence and divergence in mortality: A global study from 1990 to 2030,https://openalex.org/W4390954758,PLoS ONE (2024),https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0295842&type=printable,,
social,demographics Moldova population trend 2024..2025,en,scholar,"Urban wastewater management in Nepal: generation, treatment, engineering and policy perspectives",https://openalex.org/W4392705247,H2Open Journal (2024),https://iwaponline.com/h2open/article-pdf/doi/10.2166/h2oj.2024.105/1380580/h2oj2024105.pdf,,
social,demographics Moldova population trend 2024..2025,en,scholar,Trauma Outcomes in Pediatric Nonfatal Road Traffic Accidents,https://openalex.org/W4391880505,2024,,,
social,healthcare access Moldova rural 2024..2025,en,scholar,The application of the temporary protection directive: challenges and good practises for Ireland,https://openalex.org/W4395071041,2024,https://www.esri.ie/pubs/RS185.pdf,,
social,healthcare access Moldova rural 2024..2025,en,scholar,Financing gap for universal social protection,https://openalex.org/W4396511505,ILO eBooks (2024),https://www.econstor.eu/bitstream/10419/296565/1/1887275096.pdf,,
social,healthcare access Moldova rural 2024..2025,en,scholar,"Regional Competitiveness for Achieving Sustainable Development of Hail Region, Saudi Arabia",https://openalex.org/W4405920441,Sustainability (2024),,,
social,Transnistria social tensions pro-Russian sentiment 2024..2025,en,scholar,,https://openalex.org/W4390484956,Socio World Social Research & Behavioral Sciences (2024),https://zenodo.org/records/10443165/files/SWD-13.03.2023.pdf,,
social,Transnistria social tensions pro-Russian sentiment 2024..2025,en,scholar,Understanding Islamic State's “acting” like a state,https://openalex.org/W4406524185,Edward Elgar Publishing eBooks (2025),,,
social,media consumption Moldova language Russian Romanian 2024..2025,en,scholar,The Law &amp; Politics of Brexit: Volume V,https://openalex.org/W4398255335,Oxford University Press eBooks (2024),https://academic.oup.com/book/56381/book-pdf/57406675/9780198908296_web.pdf,,
social,media consumption Moldova language Russian Romanian 2024..2025,en,scholar,Ukrainian Refugees in Switzerland: A research synthesis of what we know,https://openalex.org/W4390839983,2024,https://osf.io/tcnhx/download,,
social,media consumption Moldova language Russian Romanian 2024..2025,en,scholar,An Analysis of the Roma and Their Inclusion and Exclusion in Metropolitan Areas of Europe,https://openalex.org/W4399728208,2024,https://rshare.library.torontomu.ca/articles/thesis/An_Analysis_of_the_Roma_and_Their_Inclusion_and_Exclusion_in_Metropolitan_Areas_of_Europe/26046568/1/files/47086138.pdf,,
social,diaspora Moldova remittances social impact 2024..2025,en,scholar,Responding to natural disasters: What do monthly remittance data tell us?,https://openalex.org/W4405220692,Journal of Development Economics (2024),,,
