category,query,language,engine,title,link,source,publication_info,pdf_link,date,snippet,position,year_min,year_max,occurrences,label,confidence,pmesii,source_type,admiralty_source_reliability,admiralty_info_credibility,rationale
areas,Moldova infrastructure 2024,en,web,PDFReform Agenda under the Republic of Moldova`s Growth Plan for the years ...,https://www.legis.md/UserFiles/Image/RO/2025/mo%20215-222%20ro/Agenda%20_260%20en.pdf,,,,,"Among the most noticeable structural changes in recent decades,Moldovahas effectively shifted from an agriculture-based economy to a more diversified economic foundation. While in 2001, the agricultural sector contributed nearly 25% to GDP, in2024it is estimated to account for only 10% of GDP. Nevertheless, agriculture remains a vital growth sector in rural areas. The industrial sector ...",1,2024,2025,1,non_intel,0.4,['Structures'],other,C,3,The document discusses economic shifts but lacks specific actionable infrastructure intelligence relevant to Moldova's vulnerabilities or dependencies.
areas,Moldova infrastructure 2024,en,web,Moldova: an unprecedented financial assistance package from the EU,https://www.osw.waw.pl/en/publikacje/analyses/2025-02-24/moldova-unprecedented-financial-assistance-package-eu,,,,,"On 19 February, the EU Council and the European Parliament reached a preliminary agreement on the Reform and Growth Facility for the Republic ofMoldova, the financial pillar of theMoldovaGrowth Plan (MGP), which was proposed by the European Commission in November2024. Under this plan,Moldovais set to receive €1.885 billion in aid between 2025 and 2027, including €385 million in non ...",2,2024,2025,1,intel,0.8,"['Organisations', 'Events']",report,A,5,"Details on a significant EU financial assistance package that will impact Moldova's infrastructure and governance, relevant for assessing external influence."
areas,Moldova infrastructure 2024,en,web,PDF2025 Moldova Investment Climate Statement - U.S. Department of State,https://www.state.gov/wp-content/uploads/2025/09/638719_2025-Moldova-Investment-Climate-Statement.pdf,,,,,"Moldovarecorded anemic economic growth of just 0.1 percent in2024. The economy faces challenges from low productivity, outmigration of young workers, corruption, a large and inefficient network of state-owned enterprises, and a complex business environment. The country's prospects hinge on structural reforms and progress toward EU accession.",3,2024,2025,1,intel,0.7,"['Structures', 'Capabilities']",gov,A,4,"Provides insights into Moldova's economic challenges and structural reforms necessary for EU accession, highlighting infrastructure dependencies."
areas,Moldova infrastructure 2024,en,web,Growth Plan for the Republic of Moldova | EEAS,https://www.eeas.europa.eu/delegations/moldova/growth-plan-republic-moldova_en?s=223,,,,,"On 10 October, the European Commission adopted a Growth Plan for the Republic ofMoldovaworth €1.8 billion and underpinned by a Reform and Growth Facility for the period 2025-2027. The Plan, which is the largest EU financial support package sinceMoldova'sindependence, will boostMoldova'seconomy, bring the country closer to EU membership by accelerating reforms, and provide significant ...",4,2024,2025,1,intel,0.8,"['Organisations', 'Events']",gov,A,5,"Discusses a major EU financial support plan aimed at enhancing Moldova's infrastructure and governance, crucial for understanding external influences."
areas,Moldova infrastructure 2024,en,web,PDFTransition Report 2024-25 - ebrd.com,https://www.ebrd.com/content/dam/ebrd_dxp/assets/pdfs/office-of-the-chief-economist/transition-report-archive/transition-report-2024/country-assessments-2023-24/eastern-europe-and-the-caucasus/Transition-Report-2024-25-Moldova.pdf,,,,,"In May2024Moldovaand the EU signed an agreement giving the country access to the European Social Fund Plus in order to boost employment and re- or upskillMoldova'sworkforce. This agreement, which applies retroactively from January2024, will fund policies supporting employment, social inclusion and the reduction of poverty.",5,2024,2025,1,intel,0.7,"['Structures', 'Capabilities']",report,A,4,"Highlights Moldova's access to EU funding for workforce development, which is essential for improving infrastructure resilience and capabilities."
areas,Moldova infrastructure 2024,en,web,"Moldova Overview: Development news, research, data | World Bank",https://www.worldbank.org/en/country/moldova/overview,,,,,"Moldova'seconomic recovery remains fragile due to energy price shocks from the non-renewal of the gas transit contract through Ukraine in January 2025 and the ongoing impact of Russia's invasion of Ukraine. Despite meeting energy needs through European Union (EU) imports,Moldovafaces higher energy prices and increased fiscal costs. While the outlook is moderately positive, risks include ...",6,2024,2025,1,intel,0.7,"['Structures', 'Capabilities']",report,A,4,"Discusses Moldova's energy dependency and fiscal challenges, providing insights into vulnerabilities that could be exploited by external actors."
areas,Moldova infrastructure 2024,en,web,"The Moldovan Government will implement the ""European Village"" program ...",https://moldovalive.md/the-moldovan-government-will-implement-the-european-village-program-projects-in-612-settlements/,,,,,"August 8,20240 1042 The ""European Village"" program will implement projects in 612 localities in2024, accounting for 82% of the total submitted projects, Minister ofInfrastructureand Regional Development Andrei Spinu announced at a press conference.",7,2024,2025,1,intel,0.6,['Events'],other,B,3,"Mentions a government program aimed at local development, which may influence infrastructure projects but lacks detailed actionable intelligence."
areas,Moldova infrastructure 2024,en,web,PDFThe Republic of Moldova of (2025-2027) Economic Reform Programme ...,https://mf.gov.md/sites/default/files/Commission%20assessment%20ERP%202025-2027.pdf,,,,,"n2024) declined and remain insufficient to meet the country's substantialinfrastructureneeds.Moldovacontinue to struggle to implement public investment projects, particularly projects from external sources. By end of October2024, onl",8,2024,2025,1,non_intel,0.3,[],other,D,2,The document discusses insufficient infrastructure funding but does not provide specific actionable intelligence relevant to Moldova's vulnerabilities.
areas,Moldova infrastructure 2024,en,web,"PDFFinancial trends in Moldova at the intersection of years, 2024-2025",https://fbi.md/datas/users/1-financial_trends_in_moldova_at_the_intersection_of_years_2024-2025_-_iurie_barbaro_jr..pdf,,,,,"Towards the end of2024,Moldova'seconomic growth has been estimated at a modest 2%, with a projected acceleration in the following years (3% in 2025, 3.3% in 2026 and 3.7% in 2027, according to MDED plans), largely on the back ofinfrastructureinvestment and a recovery in private consumption.",9,2024,2025,1,non_intel,0.2,[],other,D,1,The content is too vague and lacks specific details on infrastructure or external influence operations affecting Moldova.
areas,Moldova infrastructure 2024,en,web,Commission welcomes political agreement on the €1.9 billion Reform and ...,https://www.eeas.europa.eu/delegations/moldova/commission-welcomes-political-agreement-%E2%82%AC19-billion-reform-and-growth-facility-moldova_en?s=223,,,,,"The Commission welcomes the political agreement reached last night between the European Parliament and the Council of the European Union on the Regulation to establish a Reform and Growth Facility forMoldova, a key pillar of the Growth Plan forMoldovaproposed by the Commission in October2024. The Plan is the largest EU financial support package sinceMoldova'sindependence. It will boost ...",10,2024,2025,1,non_intel,0.1,[],other,E,1,The document does not provide relevant infrastructure intelligence or insights into Moldova's political stability.
