category,query,language,engine,title,link,source,publication_info,pdf_link,date,snippet,position,year_min,year_max,occurrences,label,confidence,pmesii,source_type,admiralty_source_reliability,admiralty_info_credibility,rationale
areas,Moldova infrastructure 2024,en,web,PDFReform Agenda under the Republic of Moldova`s Growth Plan for the years ...,https://www.legis.md/UserFiles/Image/RO/2025/mo%20215-222%20ro/Agenda%20_260%20en.pdf,,,,,"Among the most noticeable structural changes in recent decades,Moldovahas effectively shifted from an agriculture-based economy to a more diversified economic foundation. While in 2001, the agricultural sector contributed nearly 25% to GDP, in2024it is estimated to account for only 10% of GDP. Nevertheless, agriculture remains a vital growth sector in rural areas. The industrial sector ...",1,2024,2025,1,non_intel,0.4,['Structures'],other,C,3,The document discusses economic shifts but lacks specific actionable infrastructure intelligence relevant to Moldova's vulnerabilities or dependencies.
areas,Moldova infrastructure 2024,en,web,PDFThe Republic of Moldova of (2025-2027) Economic Reform Programme ...,https://mf.gov.md/sites/default/files/Commission%20assessment%20ERP%202025-2027.pdf,,,,,"n2024) declined and remain insufficient to meet the country's substantialinfrastructureneeds.Moldovacontinue to struggle to implement public investment projects, particularly projects from external sources. By end of October2024, onl",8,2024,2025,1,non_intel,0.3,[],other,D,2,The document discusses insufficient infrastructure funding but does not provide specific actionable intelligence relevant to Moldova's vulnerabilities.
areas,Moldova infrastructure 2024,en,web,"PDFFinancial trends in Moldova at the intersection of years, 2024-2025",https://fbi.md/datas/users/1-financial_trends_in_moldova_at_the_intersection_of_years_2024-2025_-_iurie_barbaro_jr..pdf,,,,,"Towards the end of2024,Moldova'seconomic growth has been estimated at a modest 2%, with a projected acceleration in the following years (3% in 2025, 3.3% in 2026 and 3.7% in 2027, according to MDED plans), largely on the back ofinfrastructureinvestment and a recovery in private consumption.",9,2024,2025,1,non_intel,0.2,[],other,D,1,The content is too vague and lacks specific details on infrastructure or external influence operations affecting Moldova.
areas,Moldova infrastructure 2024,en,web,Commission welcomes political agreement on the €1.9 billion Reform and ...,https://www.eeas.europa.eu/delegations/moldova/commission-welcomes-political-agreement-%E2%82%AC19-billion-reform-and-growth-facility-moldova_en?s=223,,,,,"The Commission welcomes the political agreement reached last night between the European Parliament and the Council of the European Union on the Regulation to establish a Reform and Growth Facility forMoldova, a key pillar of the Growth Plan forMoldovaproposed by the Commission in October2024. The Plan is the largest EU financial support package sinceMoldova'sindependence. It will boost ...",10,2024,2025,1,non_intel,0.1,[],other,E,1,The document does not provide relevant infrastructure intelligence or insights into Moldova's political stability.
areas,Moldova infrastructure 2024,en,scholar,"Global age-sex-specific mortality, life expectancy, and population estimates in 204 countries and territories and 811 subnational locations, 1950–2021, and the impact of the COVID-19 pandemic: a comprehensive demographic analysis for the Global Burden of Disease Study 2021",https://openalex.org/W4392663706,,The Lancet (2024),https://researchonline.jcu.edu.au/82489/7/82489.pdf,,,,2024,2025,1,non_intel,0.1,[],other,E,1,"The content is unrelated to Moldova's infrastructure or external influence operations, lacking actionable intelligence."
areas,Moldova infrastructure 2024,en,scholar,"Global fertility in 204 countries and territories, 1950–2021, with forecasts to 2100: a comprehensive demographic analysis for the Global Burden of Disease Study 2021",https://openalex.org/W4394019396,,The Lancet (2024),http://qspace.qu.edu.qa/bitstream/10576/53372/1/PIIS0140673624005506.pdf,,,,2024,2025,1,non_intel,0.1,[],other,E,1,The document does not provide relevant infrastructure intelligence or insights into Moldova's political stability.
areas,Moldova infrastructure 2024,en,scholar,CLUSTERING OF BUSINESSES IN THE REPUBLIC OF MOLDOVA: ANALYSIS OF ECONOMIC DEVELOPMENT PROSPECTS,https://openalex.org/W4412551183,,2025,,,,,2024,2025,1,non_intel,0.1,[],other,E,1,"The content is unrelated to Moldova's infrastructure or external influence operations, lacking actionable intelligence."
areas,Moldova infrastructure 2024,en,scholar,Exploring the determinants of methane emissions from a worldwide perspective using panel data and machine learning analyses,https://openalex.org/W4393078203,,Environmental Pollution (2024),,,,,2024,2025,1,non_intel,0.1,[],other,E,1,The document does not provide relevant infrastructure intelligence or insights into Moldova's political stability.
areas,Moldova infrastructure 2024,en,scholar,"Comparative Analysis of Information Management Practices by WHO EMTCC During Major Disasters: Cyclone Idai (2019), Moldova Refugee Crisis (2022), Türkiye Earthquake (2023), and Palestine Humanitarian Crisis (2024)",https://openalex.org/W4410565928,,Prehospital and Disaster Medicine (2025),,,,,2024,2025,1,non_intel,0.1,[],other,E,1,"The content is unrelated to Moldova's infrastructure or external influence operations, lacking actionable intelligence."
areas,Moldova infrastructure 2024,en,scholar,Mapping the global geography of cybercrime with the World Cybercrime Index,https://openalex.org/W4394674973,,PLoS ONE (2024),https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0297312&type=printable,,,,2024,2025,1,non_intel,0.0,[],other,D,4,LLM shorter than batch; filled default
areas,Moldova infrastructure 2024,en,scholar,Modeling the link between tourism and economic development: evidence from homogeneous panels of countries,https://openalex.org/W4392136811,,Humanities and Social Sciences Communications (2024),https://www.nature.com/articles/s41599-024-02826-8.pdf,,,,2024,2025,1,non_intel,0.0,[],other,D,4,LLM shorter than batch; filled default
areas,Moldova infrastructure 2024,en,scholar,Trypillia mega-sites: a social levelling concept?,https://openalex.org/W4392163839,,Antiquity (2024),https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A0048EA63DA8D0B00A513BFD7C24A679/S0003598X24000188a.pdf/div-class-title-trypillia-mega-sites-a-social-levelling-concept-div.pdf,,,,2024,2025,1,non_intel,0.0,[],other,D,4,LLM shorter than batch; filled default
areas,Moldova infrastructure 2024,en,scholar,Child health prioritisation in national adaptation policies on climate change: a policy document analysis across 160 countries,https://openalex.org/W4399362547,,The Lancet Child & Adolescent Health (2024),,,,,2024,2025,1,non_intel,0.0,[],other,D,4,LLM shorter than batch; filled default
areas,Moldova infrastructure 2024,en,scholar,Impacts on and damage to European forests from the 2018–2022 heat and drought events,https://openalex.org/W4406106013,,Natural hazards and earth system sciences (2025),,,,,2024,2025,1,non_intel,0.0,[],other,D,4,LLM shorter than batch; filled default
areas,Moldova infrastructure 2024,en,scholar,A Comparative Perspective on Negative Campaigning in National Election Campaigns in Central and Eastern European Countries,https://openalex.org/W4400008660,,Politics and Governance (2024),,,,,2024,2025,1,non_intel,0.2,[],journal,C,3,"The title suggests a focus on negative campaigning in elections, which is not directly related to Moldova's infrastructure or external influence."
areas,Moldova infrastructure 2024,en,scholar,"Rebuilding the Transportation Sector of Ukraine: a Comprehensive Approach to Financing, Investment and Recovery",https://openalex.org/W4414096653,,Herald of the Economic Sciences of Ukraine (2025),,,,,2024,2025,1,non_intel,0.2,[],journal,C,3,"This article focuses on Ukraine's transportation sector, not Moldova's infrastructure or external influence."
areas,Moldova infrastructure 2024,en,scholar,Geopolitical EU? The EU's Wartime Assistance to Ukraine,https://openalex.org/W4394882321,,JCMS Journal of Common Market Studies (2024),https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jcms.13613,,,,2024,2025,1,non_intel,0.2,[],journal,C,3,"The focus is on EU assistance to Ukraine, lacking direct relevance to Moldova's infrastructure or influence operations."
areas,Moldova infrastructure 2024,en,scholar,Risk of introduction and establishment of alien vertebrate species in transboundary neighboring areas,https://openalex.org/W4391311639,,Nature Communications (2024),https://www.nature.com/articles/s41467-024-45025-4.pdf,,,,2024,2025,1,non_intel,0.2,[],journal,C,3,The topic of alien species in transboundary areas does not pertain to Moldova's infrastructure or external influence.
areas,Moldova infrastructure 2024,en,scholar,Spatial Cumulative Assessment of Impact Risk-Implementing Ecosystem-Based Management for Enhanced Sustainability and Biodiversity in the Black Sea,https://openalex.org/W4398781801,,Sustainability (2024),https://www.mdpi.com/2071-1050/16/11/4449/pdf?version=1716544333,,,,2024,2025,1,non_intel,0.2,[],journal,C,3,"This article addresses biodiversity and sustainability, which are not directly related to Moldova's infrastructure or external influence."
areas,Moldova infrastructure 2024,en,scholar,"Evaluation of educational resource utilization efficiency, regional technological heterogeneity, and total factor productivity change in 35 European countries",https://openalex.org/W4391021990,,PLoS ONE (2024),https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0295979&type=printable,,,,2024,2025,1,non_intel,0.2,[],journal,C,3,"This article discusses educational resource efficiency, which is not relevant to Moldova's infrastructure or external influence."
areas,Moldova infrastructure 2024,en,scholar,Where have Ukrainian refugees gone? Identifying potential settlement areas across European regions integrating digital and traditional geographic data,https://openalex.org/W4396808337,,Population Space and Place (2024),,,,,2024,2025,1,non_intel,0.2,[],journal,C,3,"The focus is on refugee settlement areas, lacking relevance to Moldova's infrastructure or external influence."
areas,Moldova infrastructure 2024,en,scholar,Transport infrastructure in the system of environmental projects for sustainable development of the region,https://openalex.org/W4394754975,,E3S Web of Conferences (2024),https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/45/e3sconf_tt21c-2024_01015.pdf,,,,2024,2025,1,non_intel,0.2,[],other,C,3,"This article discusses transport infrastructure in the context of environmental projects, not specifically related to Moldova's infrastructure."
areas,Moldova infrastructure 2024,en,scholar,The polycrisis and EU security and defence competences,https://openalex.org/W4399515604,,Journal of European Public Policy (2024),https://www.tandfonline.com/doi/pdf/10.1080/13501763.2024.2362762?needAccess=true,,,,2024,2025,1,non_intel,0.2,[],journal,C,3,"The article addresses EU security and defense competences, which does not directly relate to Moldova's infrastructure."
areas,Moldelectrica energy grid,en,web,Member Companies - ENTSO-E,https://www.entsoe.eu/about/inside-entsoe/members/,,,,,"In many countries, TSOs are in charge of the development of thegridinfrastructure too. 40 Members from 36 countries are part of ENTSO-E. The Observer Membership Agreement passed with TEİAŞ (Turkish TSO) was formalised on 13 December 2022. On 22 November 2023,Moldelectrica, the Moldavian TSO, joined ENTSO-E as Observer Member.",7,2024,2025,1,non_intel,0.2,[],gov,C,3,"The content focuses on energy consumption advice, lacking substantive information on infrastructure or external influence."
areas,Moldelectrica energy grid,en,web,Moldelectrica testează dacă rețeaua Moldovei poate funcționa doar cu ...,https://renergy.md/moldelectrica-testeaza-daca-reteaua-moldovei-poate-functiona-doar-cu-energie-din-romania/,,,,,"Moldelectricaa activat recent regimurile de insularizare pe patru linii electrice aeriene (LEA) de interconexiune de 110 kV, colaborând îndeaproape cu CNTEE Transelectrica din România și operatorii de distribuție de pe ambele maluri ale Prutului. Această măsură face parte din Planul de pregătire al Guvernului pentru sezonul de iarnă2024-2025și are drept obiectiv asigurarea ...",10,2024,2025,1,non_intel,0.0,[],other,D,4,LLM shorter than batch; filled default
areas,Moldelectrica energy grid,en,scholar,"A global catalogue of CO<sub>2</sub> emissions and co-emitted species from power plants, including high-resolution vertical and temporal profiles",https://openalex.org/W4390884420,,Earth system science data (2024),https://essd.copernicus.org/articles/16/337/2024/essd-16-337-2024.pdf,,,,2024,2025,1,non_intel,0.2,[],journal,C,3,The source discusses CO2 emissions from power plants but lacks specific relevance to Moldova's infrastructure or external influence operations. It does not provide actionable intelligence.
