category,query,language,engine,title,link,source,publication_info,pdf_link,date,snippet,position,year_min,year_max,occurrences
areas,"""Moldova infrastructure overview"" OR ""critical infrastructure Moldova""",en,web,Mircea-Florin Sandu's Post,https://www.linkedin.com/posts/mircea-florin-sandu_investinmoldova-industrialisation-it-activity-7308506097881964544-1wlY,LinkedIn · Mircea-Florin Sandu,,,,... Critical Infrastructure: Moldova is advancing transformative projects to boost connectivity and growth. These include power lines like Vulcănești-Chișinău ...,1,2024,2025,1
areas,"""Moldova infrastructure overview"" OR ""critical infrastructure Moldova""",en,web,State Department cyber ambassador Nathaniel Fick,https://subscriber.politicopro.com/article/2024/08/politico-pro-q-a-state-department-cyber-ambassador-nathaniel-fick-00176771,POLITICO Pro,,,"Aug 29, 2024","... critical infrastructure. Moldova is a particular concern, as citizens will go to the polls on the same day in October to cast their votes both for president ...",2,2024,2025,1
areas,"""Moldova infrastructure overview"" OR ""critical infrastructure Moldova""",en; ro; ru,web,Moldova is Europe - Support for EU Integration,https://www.facebook.com/euadvisers/posts/modernizarea-sectorului-energetic-al-republicii-moldova-%C8%99i-atragerea-investi%C8%9Biil/1113495897478298/,Facebook · Moldova is Europe - Support for EU Integration,,,,"... critical infrastructure. Moldova Energy Forum is organized annually and serves as a platform for dialogue between decision- makers, investors, project ...",1,2024,2025,3
areas,"""Transnistria electricity network"" OR ""Cuciurgan power plant Inter RAO""",en,web,A Hybrid Front in Eastern Europe: Anatomy of an Information ...,https://regard-est.com/a-hybrid-front-in-eastern-europe-anatomy-of-an-information-war,regard-est.com,,,"Sep 21, 2025",The territory's orchestrated dependence operates through several interconnected mechanisms: energy control via the Cuciurgan power plant (Inter RAO) ...,1,2024,2025,1
structures,Moldelectrica ownership OR restructuring,en,web,moldova-romania-power-interconnection-phase-ii-board- ...,https://www.ebrd.com/content/dam/ebrd_dxp/documents/project/54567/moldova-romania-power-interconnection-phase-ii-board-report.pdf,EBRD,,,"Mar 6, 2025","The proceeds of the loan will be on-lent to Moldelectrica, the 100% state-owned electricity TSO in. Moldova under the supervision of the Ministry of Energy (“ ...",1,2024,2025,1
structures,Moldelectrica ownership OR restructuring,en,web,Moldova,https://www.energy-community.org/dam/jcr:1ada75bb-8fee-4905-9e55-b0c4c636fa56/IR2024_Moldova.pdf,Energy Community,,,"Nov 1, 2024","SE Moldelectrica was certified as an ISO in July 2023. By April. 2024 - the deadline set by ANRE, SE Moldelectrica and its found- er had fulfilled all the ...",2,2024,2025,1
structures,Moldelectrica ownership OR restructuring,en,web,Republic of Moldova 2024 Report,https://enlargement.ec.europa.eu/document/download/858717b3-f8ef-4514-89fe-54a6aa15ef69_en?filename=Moldova%20Report%202024.pdf,Enlargement and Eastern Neighbourhood,,,"Oct 30, 2024","CONTEXT. On 3 March 2022, the Republic of Moldova ('Moldova') applied for EU membership. Following the. Commission's recommendation in November 2023, ...",3,2024,2025,1
general; organisations; structures,"""EU4Energy Moldova"" OR ""Energy Community Moldova""; ""Moldova energy"" OR ""energy security Moldova""; Moldelectrica ownership OR restructuring",en; ro; ru,scholar,Moldova at a crossroads in the current geopolitical turmoil: strengthening Moldova's energy security as a key factor for stability in the wider region,https://dione.lib.unipi.gr/xmlui/handle/unipi/18165,,E Kontogouri - 2025 - dione.lib.unipi.gr,https://dione.lib.unipi.gr/xmlui/bitstream/handle/unipi/18165/ELENI%20KONTOGOURI%20MASTER%20THESIS%202025.pdf?sequence=1,,"… The market structure is officially semi-liberalized, comprising state-owned, private, and mixedownership entities. The state-owned transmission system operator, Moldelectrica, manages …",,2024,2025,7
structures,Moldelectrica ownership OR restructuring,en; ro; ru,scholar,Analysis of the Energy System Market of the Republic of Moldova in the Context Global Energy Crises,https://stec.univ-ovidius.ro/html/anale/RO/2024i1/Section%201%20and%202/13.pdf,,"C Mosnianu - Ovidius University Annals, Economic Sciences …, 2024 - stec.univ-ovidius.ro",https://stec.univ-ovidius.ro/html/anale/RO/2024i1/Section%201%20and%202/13.pdf,,"… Moldelectrica US is the only entity that holds a license for electricity transmission. in addition, two entities hold licenses for the distribution of electricity (RED Nord SA and Î.CS RED …",,2024,2025,3
structures,Moldelectrica ownership OR restructuring,en; ro; ru,scholar,Current European Energy Architecture,https://www.ceeol.com/search/article-detail?id=1272561,,"A Petrea - RAIS Journal for Social Sciences, 2024 - ceeol.com",https://ibn.idsi.md/sites/default/files/j_nr_file/nr_1_2024.pdf#page=43,,"… the capacity and improving the reliability of the electricity transmission system, is underway; the project for the development of the electrical transmission network of ÎSMoldelectrica, in …",,2024,2025,3
