category,query,language,engine,title,link,source,publication_info,pdf_link,date,snippet,position,year_min,year_max,occurrences,label,confidence,pmesii,source_type,admiralty_source_reliability,admiralty_info_credibility,rationale
areas,"""Moldova infrastructure overview"" OR ""critical infrastructure Moldova""",en,web,Mircea-Florin Sandu's Post,https://www.linkedin.com/posts/mircea-florin-sandu_investinmoldova-industrialisation-it-activity-7308506097881964544-1wlY,LinkedIn · Mircea-Florin Sandu,,,,... Critical Infrastructure: Moldova is advancing transformative projects to boost connectivity and growth. These include power lines like Vulcănești-Chișinău ...,1,2024,2025,1,intel,0.7,"['Areas', 'Structures']",other,D,3,"The post mentions transformative projects like the Vulcănești-Chișinău power line, relevant to Moldova's infrastructure landscape and EU integration."
areas,"""Transnistria electricity network"" OR ""Cuciurgan power plant Inter RAO""",en,web,A Hybrid Front in Eastern Europe: Anatomy of an Information ...,https://regard-est.com/a-hybrid-front-in-eastern-europe-anatomy-of-an-information-war,regard-est.com,,,"Sep 21, 2025",The territory's orchestrated dependence operates through several interconnected mechanisms: energy control via the Cuciurgan power plant (Inter RAO) ...,1,2024,2025,1,intel,0.8,"['Areas', 'Structures', 'Capabilities']",other,C,3,"The article discusses energy control via the Cuciurgan power plant, highlighting Moldova's infrastructural dependencies and vulnerabilities."
structures,Moldelectrica ownership OR restructuring,en,web,moldova-romania-power-interconnection-phase-ii-board- ...,https://www.ebrd.com/content/dam/ebrd_dxp/documents/project/54567/moldova-romania-power-interconnection-phase-ii-board-report.pdf,EBRD,,,"Mar 6, 2025","The proceeds of the loan will be on-lent to Moldelectrica, the 100% state-owned electricity TSO in. Moldova under the supervision of the Ministry of Energy (“ ...",1,2024,2025,1,intel,0.9,"['Structures', 'Capabilities', 'Organisations']",report,A,2,"The report details a loan to Moldelectrica for power interconnection, providing insights into Moldova's energy infrastructure and EU integration efforts."
structures,Moldelectrica ownership OR restructuring,en,web,Moldova,https://www.energy-community.org/dam/jcr:1ada75bb-8fee-4905-9e55-b0c4c636fa56/IR2024_Moldova.pdf,Energy Community,,,"Nov 1, 2024","SE Moldelectrica was certified as an ISO in July 2023. By April. 2024 - the deadline set by ANRE, SE Moldelectrica and its found- er had fulfilled all the ...",2,2024,2025,1,intel,0.9,"['Structures', 'Capabilities', 'Organisations']",report,A,2,"The source discusses SE Moldelectrica's certification as an ISO and its compliance with ANRE deadlines, providing insights into Moldova's energy infrastructure management and regulatory environment."
general; organisations; structures,"""EU4Energy Moldova"" OR ""Energy Community Moldova""; ""Moldova energy"" OR ""energy security Moldova""; Moldelectrica ownership OR restructuring",en; ro; ru,scholar,Moldova at a crossroads in the current geopolitical turmoil: strengthening Moldova's energy security as a key factor for stability in the wider region,https://dione.lib.unipi.gr/xmlui/handle/unipi/18165,,E Kontogouri - 2025 - dione.lib.unipi.gr,https://dione.lib.unipi.gr/xmlui/bitstream/handle/unipi/18165/ELENI%20KONTOGOURI%20MASTER%20THESIS%202025.pdf?sequence=1,,"… The market structure is officially semi-liberalized, comprising state-owned, private, and mixedownership entities. The state-owned transmission system operator, Moldelectrica, manages …",,2024,2025,7,intel,0.8,"['Structures', 'Capabilities', 'Organisations']",journal,B,3,"The source provides information on Moldova's energy market structure, including the role of Moldelectrica, relevant to understanding infrastructure dependencies and vulnerabilities."
structures,Moldelectrica ownership OR restructuring,en; ro; ru,scholar,Analysis of the Energy System Market of the Republic of Moldova in the Context Global Energy Crises,https://stec.univ-ovidius.ro/html/anale/RO/2024i1/Section%201%20and%202/13.pdf,,"C Mosnianu - Ovidius University Annals, Economic Sciences …, 2024 - stec.univ-ovidius.ro",https://stec.univ-ovidius.ro/html/anale/RO/2024i1/Section%201%20and%202/13.pdf,,"… Moldelectrica US is the only entity that holds a license for electricity transmission. in addition, two entities hold licenses for the distribution of electricity (RED Nord SA and Î.CS RED …",,2024,2025,3,intel,0.85,"['Structures', 'Capabilities', 'Organisations']",journal,B,3,"The source details the licensing and operational structure of Moldova's electricity transmission and distribution, relevant to assessing infrastructure capabilities and dependencies."
structures,Moldelectrica ownership OR restructuring,en; ro; ru,scholar,Current European Energy Architecture,https://www.ceeol.com/search/article-detail?id=1272561,,"A Petrea - RAIS Journal for Social Sciences, 2024 - ceeol.com",https://ibn.idsi.md/sites/default/files/j_nr_file/nr_1_2024.pdf#page=43,,"… the capacity and improving the reliability of the electricity transmission system, is underway; the project for the development of the electrical transmission network of ÎSMoldelectrica, in …",,2024,2025,3,intel,0.8,"['Structures', 'Capabilities']",journal,B,3,"The source discusses projects to enhance Moldova's electricity transmission system, providing insights into infrastructure capabilities and development efforts."
structures,Moldelectrica ownership OR restructuring,ru,web,Kuchurgan power station - Global Energy Monitor,https://www.gem.wiki/Kuchurgan_power_station,gem.wiki,,,"Jul 22, 2025","The power station is 100% owned by the Russian Inter RAO since 2005. In November 2008, Kuchurgan's parent company Inter RAO and Moldelectrica (a Moldovan ...",1,2024,2025,1,intel,0.9,"['Areas', 'Structures', 'Organisations']",other,B,2,"The source provides details on the ownership of the Kuchurgan power station by Russian Inter RAO, relevant to Moldova's energy infrastructure and external dependencies."
structures,Moldelectrica ownership OR restructuring,ru,web,Великий праздник для величия Европы,https://logos-pres.md/wp-content/uploads/2025/05/17_1567.pdf,logos-pres.md,,,"May 17, 2025","Госпредприятие Moldelectrica представило в ходе публичных консультаций План развития сети электропередачи на период 2025–2034 гг., который предусматривает ...",3,2024,2025,1,intel,0.8,"['Structures', 'Capabilities']",other,C,3,"The source discusses Moldelectrica's transmission network development plan, relevant to Moldova's energy infrastructure capabilities and future planning."
structures,Moldelectrica ownership OR restructuring,ro,web,Agenda de Reformă,https://gov.md/sites/default/files/media/documents/sedinte-de-guvern/2025-05/NU-251-MDED-2025_0.pdf,Guvernul Republicii Moldova,,,"May 7, 2025","Cererea va fi depusă în comun de Moldelectrica (OTS) și de OPEED. Cuplarea piețelor va spori concurența, lichiditatea și semnalele de investiții în Republica ...",2,2024,2025,1,intel,0.7,"['Structures', 'Capabilities', 'Organisations']",gov,A,2,"The document discusses market coupling involving Moldelectrica, impacting Moldova's energy market structure and capabilities."
