category,query,language,engine,title,link,source,publication_info,pdf_link,date,snippet,position,year_min,year_max,occurrences,label,confidence,pmesii,source_type,admiralty_source_reliability,admiralty_info_credibility,rationale
areas,"""Moldova infrastructure overview"" OR ""critical infrastructure Moldova""",en,web,State Department cyber ambassador Nathaniel Fick,https://subscriber.politicopro.com/article/2024/08/politico-pro-q-a-state-department-cyber-ambassador-nathaniel-fick-00176771,POLITICO Pro,,,"Aug 29, 2024","... critical infrastructure. Moldova is a particular concern, as citizens will go to the polls on the same day in October to cast their votes both for president ...",2,2024,2025,1,non_intel,0.6,[],news,B,4,The snippet mentions Moldova's elections but lacks specific details on infrastructure systems or vulnerabilities.
areas,"""Moldova infrastructure overview"" OR ""critical infrastructure Moldova""",en; ro; ru,web,Moldova is Europe - Support for EU Integration,https://www.facebook.com/euadvisers/posts/modernizarea-sectorului-energetic-al-republicii-moldova-%C8%99i-atragerea-investi%C8%9Biil/1113495897478298/,Facebook · Moldova is Europe - Support for EU Integration,,,,"... critical infrastructure. Moldova Energy Forum is organized annually and serves as a platform for dialogue between decision- makers, investors, project ...",1,2024,2025,3,non_intel,0.5,[],other,E,3,The snippet refers to a forum but does not provide concrete details on infrastructure systems or capabilities in Moldova.
structures,Moldelectrica ownership OR restructuring,en,web,Republic of Moldova 2024 Report,https://enlargement.ec.europa.eu/document/download/858717b3-f8ef-4514-89fe-54a6aa15ef69_en?filename=Moldova%20Report%202024.pdf,Enlargement and Eastern Neighbourhood,,,"Oct 30, 2024","CONTEXT. On 3 March 2022, the Republic of Moldova ('Moldova') applied for EU membership. Following the. Commission's recommendation in November 2023, ...",3,2024,2025,1,non_intel,0.6,[],gov,A,3,"The snippet focuses on Moldova's EU membership application, lacking specific details on infrastructure systems or dependencies relevant to the research question."
structures,Moldelectrica ownership OR restructuring,ru,web,Урсуле фон дер Ляйен грозит импичмент,https://logos-pres.md/wp-content/uploads/2025/06/24_1574.pdf,logos-pres.md,,,"Jun 24, 2025","Процесс реорганизации начался мно- го лет назад, с подписания в октябре 2012 года соглашения с Европейским банком реконструкции и развития (ЕБРР) о фи-.",2,2024,2025,1,non_intel,0.3,[],other,D,5,The snippet does not provide actionable infrastructure intelligence about Moldova; it mentions a historical agreement with EBRD without current relevance.
organisations; structures,"""EU4Energy Moldova"" OR ""Energy Community Moldova""; Moldelectrica ownership OR restructuring",ro,web,Republic of Moldova 2024 Report - EEAS,https://www.eeas.europa.eu/sites/default/files/documents/2024/Moldova%20Report%202024.pdf,EEAS,,,"Oct 30, 2024","CONTEXT. On 3 March 2022, the Republic of Moldova ('Moldova') applied for EU membership. Following the. Commission's recommendation in November 2023, ...",1,2024,2025,2,non_intel,0.6,[],gov,A,4,"The report focuses on Moldova's EU membership application process, not directly on infrastructure intelligence."
structures,Moldelectrica ownership OR restructuring,ro,web,"Energbank, bank, Chisinau, strada Vasile Alecsandri, 78",https://yandex.com/maps/org/energbank/10757608430/,Yandex,,,"Jul 4, 2024",Are you the owner of this organization? Confirm ownership on Yandex Maps ... EnergbankRustaveliDirectorate for the exploitation of Real EstateMoldelectricaAgency ...,3,2024,2025,1,non_intel,0.3,[],other,E,4,"The source is a map listing for Energbank, with no actionable infrastructure intelligence or details relevant to Moldova's infrastructure dependencies."
structures,"""Energy Community Moldova report"" filetype:pdf",ru,web,Republica Moldova - Consiliul Municipal Ungheni,http://ungheni.md/wp-content/uploads/2025/01/D-9-6.pdf,Ungheni.md,,,"Jan 22, 2025","Luând în considerare necesitatea implementării unor programe, proiecte la eficientizarea consumului de energie, utilizarea surselor de energie regenerabile, ...",3,2024,2025,1,non_intel,0.5,[],gov,C,4,"The document mentions energy efficiency and renewable projects but lacks specific, actionable details on Moldova's infrastructure dependencies."
capabilities,"""Moldova energy dependence on Russia"" 2024..2025",ru,web,Moldova is becoming increasingly dependent on ...,https://www.youtube.com/watch?v=l4D4kiwt3gY,YouTube · Canal5 Moldova,,,,Moldova is becoming increasingly dependent on expensive imported electricity. Auto-dubbed. 3.1K views · 9 months ago ...more ...,1,2024,2025,1,non_intel,0.5,[],other,D,4,"The snippet lacks specific details on infrastructure or policy changes in Moldova, making it non-actionable for infrastructure intelligence."
capabilities,"""Moldova energy dependence on Russia"" 2024..2025",ru,web,The geopolitical significance of the Arctic and American ...,https://www.ifimes.org/en/researches/the-geopolitical-significance-of-the-arctic-and-american-policy-towards-the-northern-transportation-network/5592,Ifimes,,,"Aug 15, 2025","Russia, as the country with the largest share of the Arctic zone, has in recent years invested heavily in both military and civilian infrastructure, developing ...",3,2024,2025,1,non_intel,0.3,[],think_tank,B,5,"The content is unrelated to Moldova, focusing on Arctic infrastructure, thus not contributing to actionable intelligence on Moldova's infrastructure."
capabilities,"""World Bank Moldova infrastructure connectivity""",en,web,THE WORLD BANK GROUP IN MOLDOVA,https://thedocs.worldbank.org/en/doc/6c455d39db3f10458f25e2cd00b64f4c-0080012025/original/WB-Moldova-Portfolio-Brochure-Sep-2024-eng.pdf,World Bank,,,"Sep 2, 2024","Since Moldova joined IFC in 1995, IFC has invested in 19 projects in various sectors, including agribusiness, mobile telecoms, financial sector, power ...",2,2024,2025,1,non_intel,0.6,[],report,A,3,The snippet provides general investment information without specific details on infrastructure systems or dependencies relevant to Moldova's vulnerabilities.
